addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
DEAA,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
CD01,7,secondary,CCA8,7,CCA8,7,1,0x02,ptr_scan
F34F,7,standalone,F34F,7,F34F,7,5,0x02,ptr_scan
F554,7,standalone,F554,7,F554,7,10,0x02,ptr_scan
F322,7,standalone,F322,7,F322,7,11,0x02,ptr_scan
DD03,7,standalone,DD03,7,DD03,7,1,0x02,ptr_scan
FFDE,7,secondary,FFDA,7,FFDA,7,1,0x02,ptr_scan
DEF5,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E420,7,standalone,E420,7,E420,7,1,0x02,ptr_scan
E421,7,standalone,E421,7,E421,7,1,0x02,ptr_scan
F5E4,7,standalone,F5E4,7,F5E4,7,8,0x02,ptr_scan
DD04,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DD05,7,standalone,DD05,7,DD05,7,1,0x02,ptr_scan
F380,7,standalone,F380,7,F380,7,3,0x02,ptr_scan
F3D5,7,standalone,F3D5,7,F3D5,7,3,0x02,ptr_scan
F3D6,7,standalone,F3D6,7,F3D6,7,1,0x02,ptr_scan
F41B,7,standalone,F41B,7,F41B,7,3,0x02,ptr_scan
F3DE,7,standalone,F3DE,7,F3DE,7,3,0x02,ptr_scan
F42A,7,standalone,F42A,7,F42A,7,3,0x02,ptr_scan
E720,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
F3E7,7,standalone,F3E7,7,F3E7,7,2,0x02,ptr_scan
F3E8,7,standalone,F3E8,7,F3E8,7,1,0x02,ptr_scan
F44A,7,standalone,F44A,7,F44A,7,2,0x02,ptr_scan
F517,7,standalone,F517,7,F517,7,2,0x02,ptr_scan
F3F0,7,standalone,F3F0,7,F3F0,7,5,0x02,ptr_scan
EB90,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E090,7,secondary,E083,7,E083,7,1,0x02,ptr_scan
F47B,7,standalone,F47B,7,F47B,7,7,0x02,ptr_scan
F47C,7,standalone,F47C,7,F47C,7,1,0x02,ptr_scan
E9EE,7,standalone,E9EE,7,E9EE,7,1,0x02,ptr_scan
E9EF,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
CE06,7,secondary,CE02,7,CE02,7,1,0x02,ptr_scan
E3F0,7,standalone,E3F0,7,E3F0,7,1,0x02,ptr_scan
E3F1,7,standalone,E3F1,7,E3F1,7,1,0x02,ptr_scan
E021,7,standalone,E021,7,E021,7,1,0x02,ptr_scan
E9CE,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
D904,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D905,7,standalone,D905,7,D905,7,1,0x02,ptr_scan
DDE8,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DDE9,7,standalone,DDE9,7,DDE9,7,1,0x02,ptr_scan
F57D,7,standalone,F57D,7,F57D,7,2,0x02,ptr_scan
E1AF,7,standalone,E1AF,7,E1AF,7,1,0x02,ptr_scan
CD05,7,secondary,CCA8,7,CCA8,7,1,0x02,ptr_scan
CD06,7,standalone,CD06,7,CD06,7,1,0x02,ptr_scan
CE0B,7,secondary,CE02,7,CE02,7,1,0x02,ptr_scan
CE0C,7,standalone,CE0C,7,CE0C,7,1,0x02,ptr_scan
F620,7,standalone,F620,7,F620,7,4,0x02,ptr_scan
F621,7,standalone,F621,7,F621,7,1,0x02,ptr_scan
D014,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D015,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
F66C,7,standalone,F66C,7,F66C,7,3,0x02,ptr_scan
DE08,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E9C8,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E9C9,7,standalone,E9C9,7,E9C9,7,1,0x02,ptr_scan
CD60,7,standalone,CD60,7,CD60,7,1,0x02,ptr_scan
CD61,7,secondary,CD38,7,CD38,7,1,0x02,ptr_scan
DB39,7,secondary,CF8A,7,CF8A,7,2,0x22,ptr_scan|xbank
DB3A,7,standalone,DB3A,7,DB3A,7,1,0x02,ptr_scan
F749,7,standalone,F749,7,F749,7,2,0x22,ptr_scan|xbank
F74A,7,standalone,F74A,7,F74A,7,1,0x02,ptr_scan
EB20,7,standalone,EB20,7,EB20,7,1,0x02,ptr_scan
CDEB,7,standalone,CDEB,7,CDEB,7,2,0x02,ptr_scan
CDEC,7,standalone,CDEC,7,CDEC,7,1,0x02,ptr_scan
E220,7,secondary,E1EE,7,E1EE,7,1,0x02,ptr_scan
E221,7,standalone,E221,7,E221,7,1,0x02,ptr_scan
F7E2,7,standalone,F7E2,7,F7E2,7,3,0x02,ptr_scan
F7E3,7,standalone,F7E3,7,F7E3,7,1,0x02,ptr_scan
D05D,7,secondary,CF8A,7,CF8A,7,52,0x06,ptr_scan|table_run
D05E,7,standalone,D05E,7,D05E,7,1,0x02,ptr_scan
EE80,7,standalone,EE80,7,EE80,7,1,0x02,ptr_scan
EE81,7,secondary,EE2C,7,EE2C,7,1,0x02,ptr_scan
D124,7,secondary,CF8A,7,CF8A,7,9,0x26,ptr_scan|table_run|xbank
D125,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D0A9,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D0AA,7,standalone,D0AA,7,D0AA,7,1,0x02,ptr_scan
F034,7,standalone,F034,7,F034,7,1,0x02,ptr_scan
CE7B,7,standalone,CE7B,7,CE7B,7,1,0x02,ptr_scan
CE7C,7,standalone,CE7C,7,CE7C,7,1,0x02,ptr_scan
F8BA,7,standalone,F8BA,7,F8BA,7,7,0x02,ptr_scan
F8BB,7,standalone,F8BB,7,F8BB,7,1,0x02,ptr_scan
F010,7,standalone,F010,7,F010,7,1,0x02,ptr_scan
F082,7,standalone,F082,7,F082,7,1,0x02,ptr_scan
EE78,7,secondary,EE2C,7,EE2C,7,1,0x02,ptr_scan
EE79,7,standalone,EE79,7,EE79,7,1,0x02,ptr_scan
DBEF,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
FFDB,7,secondary,FFDA,7,FFDA,7,1,0x02,ptr_scan
EA33,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
EA34,7,standalone,EA34,7,EA34,7,1,0x02,ptr_scan
E123,7,secondary,E122,7,E122,7,1,0x02,ptr_scan
DAE1,7,standalone,DAE1,7,DAE1,7,1,0x02,ptr_scan
DAE2,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
EDFF,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
D077,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
B6AD,0,standalone,B6AD,0,B6AD,0,1,0x20,xbank
B6AD,1,standalone,B6AD,1,B6AD,1,1,0x20,xbank
B6AD,2,standalone,B6AD,2,B6AD,2,1,0x20,xbank
B6AD,3,standalone,B6AD,3,B6AD,3,1,0x20,xbank
B6AD,4,standalone,B6AD,4,B6AD,4,1,0x20,xbank
B6AD,5,standalone,B6AD,5,B6AD,5,1,0x20,xbank
B6AD,6,standalone,B6AD,6,B6AD,6,1,0x20,xbank
BFAD,0,standalone,BFAD,0,BFAD,0,1,0x20,xbank
BFAD,1,standalone,BFAD,1,BFAD,1,1,0x20,xbank
BFAD,2,standalone,BFAD,2,BFAD,2,1,0x20,xbank
BFAD,3,standalone,BFAD,3,BFAD,3,1,0x20,xbank
BFAD,4,standalone,BFAD,4,BFAD,4,1,0x20,xbank
BFAD,5,standalone,BFAD,5,BFAD,5,1,0x20,xbank
BFAD,6,standalone,BFAD,6,BFAD,6,1,0x20,xbank
89B4,0,standalone,89B4,0,89B4,0,7,0x20,xbank
89B4,1,standalone,89B4,1,89B4,1,7,0x20,xbank
89B4,2,standalone,89B4,2,89B4,2,7,0x20,xbank
89B4,3,standalone,89B4,3,89B4,3,7,0x20,xbank
89B4,4,standalone,89B4,4,89B4,4,7,0x20,xbank
89B4,5,standalone,89B4,5,89B4,5,7,0x20,xbank
89B4,6,standalone,89B4,6,89B4,6,7,0x20,xbank
9358,0,standalone,9358,0,9358,0,8,0x20,xbank
9358,1,standalone,9358,1,9358,1,8,0x20,xbank
9358,2,standalone,9358,2,9358,2,8,0x20,xbank
9358,3,standalone,9358,3,9358,3,8,0x20,xbank
9358,4,standalone,9358,4,9358,4,8,0x20,xbank
9358,5,standalone,9358,5,9358,5,8,0x20,xbank
9358,6,standalone,9358,6,9358,6,8,0x20,xbank
E27C,7,standalone,E27C,7,E27C,7,2,0x02,ptr_scan
ACD9,0,standalone,ACD9,0,ACD9,0,32,0x24,table_run|xbank
ACD9,1,standalone,ACD9,1,ACD9,1,30,0x20,xbank
ACD9,2,standalone,ACD9,2,ACD9,2,30,0x20,xbank
ACD9,3,standalone,ACD9,3,ACD9,3,30,0x20,xbank
ACD9,4,standalone,ACD9,4,ACD9,4,30,0x20,xbank
ACD9,5,standalone,ACD9,5,ACD9,5,30,0x20,xbank
ACD9,6,standalone,ACD9,6,ACD9,6,30,0x20,xbank
8148,0,standalone,8148,0,8148,0,13,0x20,xbank
8148,1,standalone,8148,1,8148,1,13,0x20,xbank
8148,2,standalone,8148,2,8148,2,13,0x20,xbank
8148,3,standalone,8148,3,8148,3,13,0x20,xbank
8148,4,standalone,8148,4,8148,4,13,0x20,xbank
8148,5,standalone,8148,5,8148,5,13,0x20,xbank
8148,6,standalone,8148,6,8148,6,13,0x20,xbank
AAAD,0,standalone,AAAD,0,AAAD,0,1,0x20,xbank
AAAD,1,standalone,AAAD,1,AAAD,1,1,0x20,xbank
AAAD,2,standalone,AAAD,2,AAAD,2,1,0x20,xbank
AAAD,3,standalone,AAAD,3,AAAD,3,1,0x20,xbank
AAAD,4,standalone,AAAD,4,AAAD,4,1,0x20,xbank
AAAD,5,standalone,AAAD,5,AAAD,5,1,0x20,xbank
AAAD,6,standalone,AAAD,6,AAAD,6,1,0x20,xbank
FDAD,7,standalone,FDAD,7,FDAD,7,1,0x02,ptr_scan
90AD,0,standalone,90AD,0,90AD,0,1,0x20,xbank
90AD,1,standalone,90AD,1,90AD,1,1,0x20,xbank
90AD,2,standalone,90AD,2,90AD,2,1,0x20,xbank
90AD,3,standalone,90AD,3,90AD,3,1,0x20,xbank
90AD,4,standalone,90AD,4,90AD,4,1,0x20,xbank
90AD,5,standalone,90AD,5,90AD,5,1,0x20,xbank
90AD,6,standalone,90AD,6,90AD,6,1,0x20,xbank
E35A,7,standalone,E35A,7,E35A,7,1,0x02,ptr_scan
9910,0,standalone,9910,0,9910,0,3,0x20,xbank
9910,1,standalone,9910,1,9910,1,3,0x20,xbank
9910,2,standalone,9910,2,9910,2,3,0x20,xbank
9910,3,standalone,9910,3,9910,3,3,0x20,xbank
9910,4,standalone,9910,4,9910,4,3,0x20,xbank
9910,5,standalone,9910,5,9910,5,3,0x20,xbank
9910,6,standalone,9910,6,9910,6,3,0x20,xbank
ADD3,0,standalone,ADD3,0,ADD3,0,3,0x20,xbank
ADD3,1,standalone,ADD3,1,ADD3,1,3,0x20,xbank
ADD3,2,standalone,ADD3,2,ADD3,2,3,0x20,xbank
ADD3,3,standalone,ADD3,3,ADD3,3,3,0x20,xbank
ADD3,4,standalone,ADD3,4,ADD3,4,3,0x20,xbank
ADD3,5,standalone,ADD3,5,ADD3,5,3,0x20,xbank
ADD3,6,standalone,ADD3,6,ADD3,6,3,0x20,xbank
853E,0,standalone,853E,0,853E,0,2,0x20,xbank
853E,1,standalone,853E,1,853E,1,2,0x20,xbank
853E,2,standalone,853E,2,853E,2,2,0x20,xbank
853E,3,standalone,853E,3,853E,3,2,0x20,xbank
853E,4,standalone,853E,4,853E,4,2,0x20,xbank
853E,5,standalone,853E,5,853E,5,2,0x20,xbank
853E,6,standalone,853E,6,853E,6,2,0x20,xbank
D0DA,7,secondary,CF8A,7,CF8A,7,3,0x02,ptr_scan
CFEA,7,standalone,CFEA,7,CFEA,7,1,0x02,ptr_scan
BEAD,0,standalone,BEAD,0,BEAD,0,1,0x20,xbank
BEAD,1,standalone,BEAD,1,BEAD,1,1,0x20,xbank
BEAD,2,standalone,BEAD,2,BEAD,2,1,0x20,xbank
BEAD,3,standalone,BEAD,3,BEAD,3,1,0x20,xbank
BEAD,4,standalone,BEAD,4,BEAD,4,1,0x20,xbank
BEAD,5,standalone,BEAD,5,BEAD,5,1,0x20,xbank
BEAD,6,standalone,BEAD,6,BEAD,6,1,0x20,xbank
EAAD,7,standalone,EAAD,7,EAAD,7,1,0x02,ptr_scan
D0B8,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
C3AD,7,standalone,C3AD,7,C3AD,7,1,0x02,ptr_scan
AC6C,0,standalone,AC6C,0,AC6C,0,7,0x20,xbank
AC6C,1,standalone,AC6C,1,AC6C,1,7,0x20,xbank
AC6C,2,standalone,AC6C,2,AC6C,2,7,0x20,xbank
AC6C,3,standalone,AC6C,3,AC6C,3,7,0x20,xbank
AC6C,4,standalone,AC6C,4,AC6C,4,7,0x20,xbank
AC6C,5,standalone,AC6C,5,AC6C,5,7,0x20,xbank
AC6C,6,standalone,AC6C,6,AC6C,6,7,0x20,xbank
CCF2,7,secondary,CCA8,7,CCA8,7,2,0x02,ptr_scan
D3AD,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D1B8,7,secondary,CF8A,7,CF8A,7,2,0x02,ptr_scan
D02B,7,standalone,D02B,7,D02B,7,1,0x02,ptr_scan
84AD,0,standalone,84AD,0,84AD,0,1,0x20,xbank
84AD,1,standalone,84AD,1,84AD,1,1,0x20,xbank
84AD,2,standalone,84AD,2,84AD,2,1,0x20,xbank
84AD,3,standalone,84AD,3,84AD,3,1,0x20,xbank
84AD,4,standalone,84AD,4,84AD,4,1,0x20,xbank
84AD,5,standalone,84AD,5,84AD,5,1,0x20,xbank
84AD,6,standalone,84AD,6,84AD,6,1,0x20,xbank
D87F,7,secondary,CF8A,7,CF8A,7,22,0x02,ptr_scan
B4A5,0,standalone,B4A5,0,B4A5,0,1,0x20,xbank
B4A5,1,standalone,B4A5,1,B4A5,1,1,0x20,xbank
B4A5,2,standalone,B4A5,2,B4A5,2,1,0x20,xbank
B4A5,3,standalone,B4A5,3,B4A5,3,1,0x20,xbank
B4A5,4,standalone,B4A5,4,B4A5,4,1,0x20,xbank
B4A5,5,standalone,B4A5,5,B4A5,5,1,0x20,xbank
B4A5,6,standalone,B4A5,6,B4A5,6,1,0x20,xbank
CDB7,7,secondary,CDB4,7,CDB4,7,5,0x02,ptr_scan
CD09,7,secondary,CCA8,7,CCA8,7,1,0x02,ptr_scan
FFFF,7,standalone,FFFF,7,FFFF,7,2,0x02,ptr_scan
86AD,0,standalone,86AD,0,86AD,0,1,0x20,xbank
86AD,2,standalone,86AD,2,86AD,2,1,0x20,xbank
86AD,3,standalone,86AD,3,86AD,3,1,0x20,xbank
86AD,4,standalone,86AD,4,86AD,4,1,0x20,xbank
86AD,5,standalone,86AD,5,86AD,5,1,0x20,xbank
86AD,6,standalone,86AD,6,86AD,6,1,0x20,xbank
D095,7,standalone,D095,7,D095,7,1,0x02,ptr_scan
82AD,0,standalone,82AD,0,82AD,0,1,0x20,xbank
82AD,1,standalone,82AD,1,82AD,1,1,0x20,xbank
82AD,2,standalone,82AD,2,82AD,2,1,0x20,xbank
82AD,3,standalone,82AD,3,82AD,3,1,0x20,xbank
82AD,4,standalone,82AD,4,82AD,4,1,0x20,xbank
82AD,5,standalone,82AD,5,82AD,5,1,0x20,xbank
82AD,6,standalone,82AD,6,82AD,6,1,0x20,xbank
D4BF,7,standalone,D4BF,7,D4BF,7,1,0x02,ptr_scan
A3FB,0,standalone,A3FB,0,A3FB,0,4,0x24,table_run|xbank
A3FB,1,standalone,A3FB,1,A3FB,1,3,0x20,xbank
A3FB,2,standalone,A3FB,2,A3FB,2,3,0x20,xbank
A3FB,3,standalone,A3FB,3,A3FB,3,3,0x20,xbank
A3FB,4,standalone,A3FB,4,A3FB,4,3,0x20,xbank
A3FB,5,standalone,A3FB,5,A3FB,5,3,0x20,xbank
A3FB,6,standalone,A3FB,6,A3FB,6,3,0x20,xbank
ADE5,0,standalone,ADE5,0,ADE5,0,4,0x20,xbank
ADE5,1,standalone,ADE5,1,ADE5,1,4,0x20,xbank
ADE5,2,standalone,ADE5,2,ADE5,2,4,0x20,xbank
ADE5,3,standalone,ADE5,3,ADE5,3,4,0x20,xbank
ADE5,4,standalone,ADE5,4,ADE5,4,4,0x20,xbank
ADE5,5,standalone,ADE5,5,ADE5,5,4,0x20,xbank
ADE5,6,standalone,ADE5,6,ADE5,6,4,0x20,xbank
DD54,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E381,7,standalone,E381,7,E381,7,1,0x02,ptr_scan
87AD,0,standalone,87AD,0,87AD,0,1,0x20,xbank
87AD,1,standalone,87AD,1,87AD,1,1,0x20,xbank
87AD,2,standalone,87AD,2,87AD,2,1,0x20,xbank
87AD,3,standalone,87AD,3,87AD,3,1,0x20,xbank
87AD,4,standalone,87AD,4,87AD,4,1,0x20,xbank
87AD,5,standalone,87AD,5,87AD,5,1,0x20,xbank
87AD,6,standalone,87AD,6,87AD,6,1,0x20,xbank
AB29,0,standalone,AB29,0,AB29,0,9,0x20,xbank
AB29,1,standalone,AB29,1,AB29,1,9,0x20,xbank
AB29,2,standalone,AB29,2,AB29,2,9,0x20,xbank
AB29,3,standalone,AB29,3,AB29,3,9,0x20,xbank
AB29,4,standalone,AB29,4,AB29,4,9,0x20,xbank
AB29,5,standalone,AB29,5,AB29,5,9,0x20,xbank
AB29,6,standalone,AB29,6,AB29,6,9,0x20,xbank
8061,0,standalone,8061,0,8061,0,15,0x24,table_run|xbank
8061,1,standalone,8061,1,8061,1,7,0x20,xbank
8061,2,standalone,8061,2,8061,2,7,0x20,xbank
8061,3,standalone,8061,3,8061,3,7,0x20,xbank
8061,4,standalone,8061,4,8061,4,7,0x20,xbank
8061,5,standalone,8061,5,8061,5,7,0x20,xbank
8061,6,standalone,8061,6,8061,6,7,0x20,xbank
C385,7,standalone,C385,7,C385,7,1,0x02,ptr_scan
C24C,7,standalone,C24C,7,C24C,7,1,0x02,ptr_scan
F002,7,standalone,F002,7,F002,7,1,0x02,ptr_scan
AB09,0,standalone,AB09,0,AB09,0,1,0x20,xbank
AB09,1,standalone,AB09,1,AB09,1,1,0x20,xbank
AB09,2,standalone,AB09,2,AB09,2,1,0x20,xbank
AB09,3,standalone,AB09,3,AB09,3,1,0x20,xbank
AB09,4,standalone,AB09,4,AB09,4,1,0x20,xbank
AB09,5,standalone,AB09,5,AB09,5,1,0x20,xbank
AB09,6,standalone,AB09,6,AB09,6,1,0x20,xbank
F3EF,7,standalone,F3EF,7,F3EF,7,5,0x02,ptr_scan
D8EE,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D8E2,7,secondary,CF8A,7,CF8A,7,4,0x02,ptr_scan
CD9B,7,standalone,CD9B,7,CD9B,7,2,0x02,ptr_scan
F66B,7,standalone,F66B,7,F66B,7,1,0x02,ptr_scan
ADC3,0,standalone,ADC3,0,ADC3,0,9,0x24,table_run|xbank
ADC3,1,standalone,ADC3,1,ADC3,1,1,0x20,xbank
ADC3,2,standalone,ADC3,2,ADC3,2,1,0x20,xbank
ADC3,3,standalone,ADC3,3,ADC3,3,1,0x20,xbank
ADC3,4,standalone,ADC3,4,ADC3,4,1,0x20,xbank
ADC3,5,standalone,ADC3,5,ADC3,5,1,0x20,xbank
ADC3,6,standalone,ADC3,6,ADC3,6,1,0x20,xbank
8A40,0,standalone,8A40,0,8A40,0,3,0x24,table_run|xbank
8A73,0,standalone,8A73,0,8A73,0,8,0x24,table_run|xbank
8C6D,0,standalone,8C6D,0,8C6D,0,15,0x24,table_run|xbank
8C4C,0,standalone,8C4C,0,8C4C,0,12,0x24,table_run|xbank
8C7F,0,standalone,8C7F,0,8C7F,0,50,0x24,table_run|xbank
8ACE,0,standalone,8ACE,0,8ACE,0,7,0x24,table_run|xbank
8C39,0,standalone,8C39,0,8C39,0,38,0x24,table_run|xbank
8CB0,0,standalone,8CB0,0,8CB0,0,29,0x24,table_run|xbank
8CDA,0,standalone,8CDA,0,8CDA,0,22,0x24,table_run|xbank
8D33,0,standalone,8D33,0,8D33,0,16,0x24,table_run|xbank
8D8C,0,standalone,8D8C,0,8D8C,0,31,0x24,table_run|xbank
8BFE,0,standalone,8BFE,0,8BFE,0,55,0x24,table_run|xbank
8A8A,0,standalone,8A8A,0,8A8A,0,9,0x24,table_run|xbank
8970,1,standalone,8970,1,8970,1,2,0x20,xbank
8086,0,standalone,8086,0,8086,0,3,0x20,xbank
937A,0,standalone,937A,0,937A,0,1,0x20,xbank
A3B0,0,standalone,A3B0,0,A3B0,0,26,0x24,table_run|xbank
940D,0,standalone,940D,0,940D,0,2,0x20,xbank
A771,0,standalone,A771,0,A771,0,19,0x24,table_run|xbank
9487,0,standalone,9487,0,9487,0,3,0x20,xbank
97E7,0,standalone,97E7,0,97E7,0,20,0x20,xbank
94C9,0,standalone,94C9,0,94C9,0,5,0x20,xbank
955A,0,standalone,955A,0,955A,0,6,0x20,xbank
97D8,0,standalone,97D8,0,97D8,0,15,0x20,xbank
9548,0,standalone,9548,0,9548,0,10,0x20,xbank
97CB,0,standalone,97CB,0,97CB,0,7,0x20,xbank
97DB,0,standalone,97DB,0,97DB,0,21,0x20,xbank
97A5,0,standalone,97A5,0,97A5,0,21,0x20,xbank
9616,0,standalone,9616,0,9616,0,14,0x20,xbank
9652,0,standalone,9652,0,9652,0,9,0x20,xbank
962D,0,standalone,962D,0,962D,0,10,0x20,xbank
ACB9,0,standalone,ACB9,0,ACB9,0,8,0x20,xbank
AD1E,0,standalone,AD1E,0,AD1E,0,3,0x20,xbank
8586,0,standalone,8586,0,8586,0,1,0x20,xbank
81FD,0,standalone,81FD,0,81FD,0,1,0x20,xbank
C5AF,7,standalone,C5AF,7,C5AF,7,1,0x20,xbank
9DAE,0,standalone,9DAE,0,9DAE,0,1,0x20,xbank
9D03,0,standalone,9D03,0,9D03,0,4,0x24,table_run|xbank
9BCC,0,standalone,9BCC,0,9BCC,0,13,0x24,table_run|xbank
9A0E,0,standalone,9A0E,0,9A0E,0,4,0x24,table_run|xbank
9BDE,0,standalone,9BDE,0,9BDE,0,54,0x24,table_run|xbank
9A79,0,standalone,9A79,0,9A79,0,6,0x24,table_run|xbank
9E44,0,standalone,9E44,0,9E44,0,15,0x24,table_run|xbank
9BF0,0,standalone,9BF0,0,9BF0,0,7,0x24,table_run|xbank
DC12,7,standalone,DC12,7,DC12,7,2,0x20,xbank
F71D,7,standalone,F71D,7,F71D,7,3,0x24,table_run|xbank
A37A,1,standalone,A37A,1,A37A,1,3,0x24,table_run|xbank
C810,7,standalone,C810,7,C810,7,2,0x20,xbank
89A5,0,standalone,89A5,0,89A5,0,2,0x20,xbank
8504,1,standalone,8504,1,8504,1,6,0x20,xbank
8506,1,standalone,8506,1,8506,1,5,0x20,xbank
8508,1,standalone,8508,1,8508,1,4,0x20,xbank
850A,1,standalone,850A,1,850A,1,3,0x20,xbank
851C,1,standalone,851C,1,851C,1,2,0x20,xbank
ACA9,0,standalone,ACA9,0,ACA9,0,1,0x20,xbank
84BB,0,standalone,84BB,0,84BB,0,3,0x24,table_run|xbank
AB72,0,standalone,AB72,0,AB72,0,1,0x20,xbank
AB97,0,standalone,AB97,0,AB97,0,2,0x20,xbank
C1FA,7,standalone,C1FA,7,C1FA,7,2,0x02,ptr_scan
C20A,7,standalone,C20A,7,C20A,7,1,0x02,ptr_scan
E666,7,standalone,E666,7,E666,7,2,0x02,ptr_scan
F070,7,standalone,F070,7,F070,7,1,0x02,ptr_scan
8128,0,standalone,8128,0,8128,0,1,0x20,xbank
8128,1,standalone,8128,1,8128,1,1,0x20,xbank
8128,2,standalone,8128,2,8128,2,1,0x20,xbank
8128,3,standalone,8128,3,8128,3,1,0x20,xbank
8128,4,standalone,8128,4,8128,4,1,0x20,xbank
8128,5,standalone,8128,5,8128,5,1,0x20,xbank
8128,6,standalone,8128,6,8128,6,1,0x20,xbank
8883,0,standalone,8883,0,8883,0,6,0x24,table_run|xbank
8953,1,standalone,8953,1,8953,1,1,0x20,xbank
A3DA,0,standalone,A3DA,0,A3DA,0,3,0x24,table_run|xbank
9491,0,standalone,9491,0,9491,0,1,0x20,xbank
97BE,0,standalone,97BE,0,97BE,0,3,0x20,xbank
AD62,0,standalone,AD62,0,AD62,0,3,0x20,xbank
99D7,0,standalone,99D7,0,99D7,0,1,0x20,xbank
9A42,0,standalone,9A42,0,9A42,0,1,0x20,xbank
84FA,0,standalone,84FA,0,84FA,0,2,0x20,xbank
C1CD,7,standalone,C1CD,7,C1CD,7,1,0x02,ptr_scan
C1DD,7,standalone,C1DD,7,C1DD,7,1,0x02,ptr_scan
C1FB,7,standalone,C1FB,7,C1FB,7,1,0x02,ptr_scan
8882,0,standalone,8882,0,8882,0,1,0x20,xbank
8926,0,standalone,8926,0,8926,0,5,0x24,table_run|xbank
8918,0,standalone,8918,0,8918,0,5,0x24,table_run|xbank
893C,1,standalone,893C,1,893C,1,1,0x20,xbank
8521,0,standalone,8521,0,8521,0,14,0x24,table_run|xbank
C1C7,7,standalone,C1C7,7,C1C7,7,1,0x02,ptr_scan
C184,7,standalone,C184,7,C184,7,3,0x02,ptr_scan
88FC,1,standalone,88FC,1,88FC,1,1,0x20,xbank
88D3,1,standalone,88D3,1,88D3,1,2,0x20,xbank
852D,0,standalone,852D,0,852D,0,10,0x24,table_run|xbank
F86C,7,standalone,F86C,7,F86C,7,1,0x02,ptr_scan
F01E,7,secondary,EFD1,7,EFD1,7,1,0x02,ptr_scan
E129,7,secondary,E122,7,E122,7,1,0x02,ptr_scan
F6F0,7,secondary,F6B3,7,F6B3,7,1,0x02,ptr_scan
D2D1,7,standalone,D2D1,7,D2D1,7,1,0x02,ptr_scan
E1E0,7,standalone,E1E0,7,E1E0,7,1,0x02,ptr_scan
E2E1,7,standalone,E2E1,7,E2E1,7,1,0x02,ptr_scan
E3E2,7,standalone,E3E2,7,E3E2,7,1,0x02,ptr_scan
E4E3,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E5E4,7,standalone,E5E4,7,E5E4,7,1,0x02,ptr_scan
E7E6,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E2E7,7,standalone,E2E7,7,E2E7,7,1,0x02,ptr_scan
CECD,7,standalone,CECD,7,CECD,7,1,0x02,ptr_scan
DC00,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DDDC,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
EDEC,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
CD8D,7,standalone,CD8D,7,CD8D,7,1,0x02,ptr_scan
CF8D,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D08D,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E3D2,7,standalone,E3D2,7,E3D2,7,1,0x02,ptr_scan
E0B2,7,standalone,E0B2,7,E0B2,7,1,0x02,ptr_scan
F0C2,7,standalone,F0C2,7,F0C2,7,1,0x02,ptr_scan
CCCB,7,secondary,CCA8,7,CCA8,7,1,0x02,ptr_scan
CDC9,7,standalone,CDC9,7,CDC9,7,1,0x02,ptr_scan
CFCE,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
F2D0,7,standalone,F2D0,7,F2D0,7,1,0x02,ptr_scan
F4A9,7,standalone,F4A9,7,F4A9,7,1,0x02,ptr_scan
ED7D,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
ED9D,7,standalone,ED9D,7,ED9D,7,1,0x02,ptr_scan
