addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
F1F0,7,standalone,F1F0,7,F1F0,7,1,0x02,ptr_scan
D0A5,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
E4D0,7,standalone,E4D0,7,E4D0,7,1,0x02,ptr_scan
E4D1,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
D0A8,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
CDD0,7,secondary,CDB4,7,CDB4,7,1,0x02,ptr_scan
CDD1,7,standalone,CDD1,7,CDD1,7,1,0x02,ptr_scan
E538,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
D0A4,7,standalone,D0A4,7,D0A4,7,1,0x02,ptr_scan
D00A,7,standalone,D00A,7,D00A,7,1,0x02,ptr_scan
D0A3,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
ECD1,7,standalone,ECD1,7,ECD1,7,1,0x02,ptr_scan
D106,7,standalone,D106,7,D106,7,1,0x02,ptr_scan
D107,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D0C7,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D92A,7,standalone,D92A,7,D92A,7,1,0x02,ptr_scan
D007,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
F3D1,7,standalone,F3D1,7,F3D1,7,1,0x02,ptr_scan
F0C7,7,standalone,F0C7,7,F0C7,7,1,0x02,ptr_scan
F0C8,7,standalone,F0C8,7,F0C8,7,1,0x02,ptr_scan
E606,7,standalone,E606,7,E606,7,1,0x02,ptr_scan
E6A4,7,standalone,E6A4,7,E6A4,7,1,0x02,ptr_scan
D081,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D082,7,standalone,D082,7,D082,7,1,0x02,ptr_scan
E48E,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E58D,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E58E,7,standalone,E58E,7,E58E,7,1,0x02,ptr_scan
E68E,7,standalone,E68E,7,E68E,7,1,0x02,ptr_scan
CFF0,7,standalone,CFF0,7,CFF0,7,2,0x02,ptr_scan
CFF1,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D9D4,7,standalone,D9D4,7,D9D4,7,1,0x02,ptr_scan
DE60,7,standalone,DE60,7,DE60,7,1,0x02,ptr_scan
DE61,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DD01,7,standalone,DD01,7,DD01,7,1,0x02,ptr_scan
DD02,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
EE05,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
CEA8,7,standalone,CEA8,7,CEA8,7,1,0x02,ptr_scan
CEA9,7,standalone,CEA9,7,CEA9,7,1,0x02,ptr_scan
CE04,7,secondary,CE02,7,CE02,7,1,0x02,ptr_scan
CE05,7,standalone,CE05,7,CE05,7,1,0x02,ptr_scan
CE20,7,standalone,CE20,7,CE20,7,1,0x02,ptr_scan
CE21,7,secondary,CE02,7,CE02,7,1,0x02,ptr_scan
D5AD,7,standalone,D5AD,7,D5AD,7,1,0x02,ptr_scan
D5AE,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
F6AD,7,standalone,F6AD,7,F6AD,7,1,0x02,ptr_scan
F6AE,7,standalone,F6AE,7,F6AE,7,1,0x02,ptr_scan
F004,7,standalone,F004,7,F004,7,1,0x02,ptr_scan
F021,7,secondary,EFD1,7,EFD1,7,1,0x02,ptr_scan
CDF1,7,standalone,CDF1,7,CDF1,7,1,0x02,ptr_scan
DCC2,7,standalone,DCC2,7,DCC2,7,1,0x02,ptr_scan
DD27,7,standalone,DD27,7,DD27,7,1,0x02,ptr_scan
DD93,7,standalone,DD93,7,DD93,7,1,0x02,ptr_scan
DDFA,7,standalone,DDFA,7,DDFA,7,1,0x02,ptr_scan
E6E8,7,standalone,E6E8,7,E6E8,7,1,0x02,ptr_scan
DECD,7,standalone,DECD,7,DECD,7,1,0x02,ptr_scan
DF5E,7,standalone,DF5E,7,DF5E,7,1,0x02,ptr_scan
E064,7,standalone,E064,7,E064,7,1,0x02,ptr_scan
DE2D,7,standalone,DE2D,7,DE2D,7,1,0x02,ptr_scan
DC4F,7,standalone,DC4F,7,DC4F,7,1,0x02,ptr_scan
DC68,7,standalone,DC68,7,DC68,7,1,0x02,ptr_scan
DC5D,7,standalone,DC5D,7,DC5D,7,1,0x02,ptr_scan
DD37,7,standalone,DD37,7,DD37,7,1,0x02,ptr_scan
D14D,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DCD2,7,standalone,DCD2,7,DCD2,7,1,0x02,ptr_scan
DDA3,7,standalone,DDA3,7,DDA3,7,1,0x02,ptr_scan
F0DE,7,standalone,F0DE,7,F0DE,7,1,0x02,ptr_scan
F0DF,7,standalone,F0DF,7,F0DF,7,1,0x02,ptr_scan
F07D,7,standalone,F07D,7,F07D,7,1,0x02,ptr_scan
EE20,7,standalone,EE20,7,EE20,7,1,0x02,ptr_scan
EE21,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E0EF,7,standalone,E0EF,7,E0EF,7,1,0x02,ptr_scan
E62F,7,standalone,E62F,7,E62F,7,1,0x02,ptr_scan
